[I 2021-09-30 16:47:29,166 util.py 113] My first logger
[D 2021-09-30 16:47:29,167 util.py 114] Some thing should be notice
[W 2021-09-30 16:47:29,167 util.py 115] Sounds like not god?
[E 2021-09-30 16:47:29,167 util.py 116] There is an error!!
[I 2021-09-30 16:48:06,830 util.py 113] My first logger
[D 2021-09-30 16:48:06,831 util.py 114] Some thing should be notice
[W 2021-09-30 16:48:06,831 util.py 115] Sounds like not god?
[E 2021-09-30 16:48:06,831 util.py 116] There is an error!!
[D 20210930-173749 util.py 105] something not good?
[D 2021-09-30 17:38:38,210 util.py 105] something not good?
[D 2021-10-02 14:22:22,486 dataset.py 567] Debug test
[D 2021-10-02 14:48:53,452 util.py 120] something not good?
[D 2021-10-02 15:19:31,482 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,484 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,484 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,486 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,486 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,486 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,488 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,488 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,488 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,490 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,490 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,490 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,492 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,492 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,492 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,494 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,494 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,496 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,496 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,496 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,498 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,498 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,498 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,500 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,500 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
